Id,SalePrice
1461,105437.15
1462,231559.9
1463,147335.25
1464,163486.5
1465,162398.12
1466,151631.98
1467,161191.64
1468,140194.19
1469,161278.53
1470,104704.46
1471,181514.19
1472,76323.93
1473,79250.84
1474,132433.86
1475,89487.46
1476,299123.16
1477,203529.62
1478,223521.3
1479,234079.53
1480,425230.16
1481,267850.5
1482,172891.08
1483,148753.03
1484,141777.39
1485,153504.86
1486,164995.81
1487,258311.05
1488,192217.4
1489,165186.95
1490,185572.19
1491,173166.33
1492,79025.26
1493,167322.95
1494,242214.47
1495,237352.53
1496,202716.42
1497,157558.11
1498,148112.06
1499,151613.62
1500,137626.1
1501,157440.06
1502,136337.89
1503,274442.6
1504,207270.55
1505,184061.33
1506,166753.3
1507,212492.84
1508,172023.67
1509,135390.98
1510,123402.78
1511,123030.625
1512,143445.34
1513,129130.57
1514,141095.4
1515,168787.19
1516,138742.69
1517,150780.03
1518,117487.88
1519,183908.33
1520,111821.72
1521,109357.47
1522,144679.38
1523,80283.52
1524,99450.97
1525,99120.7
1526,86879.4
1527,91506.06
1528,110640.22
1529,124267.26
1530,153273.58
1531,101062.88
1532,91446.83
1533,131494.75
1534,97806.17
1535,129536.87
1536,89645.484
1537,62224.9
1538,143308.61
1539,171417.73
1540,89890.68
1541,117985.97
1542,124872.19
1543,191910.06
1544,75094.99
1545,90353.08
1546,125534.41
1547,130544.125
1548,109779.414
1549,97312.125
1550,119962.46
1551,103540.28
1552,116350.99
1553,127322.46
1554,96824.64
1555,153093.31
1556,69696.61
1557,79859.625
1558,81757.29
1559,68706.28
1560,109570.64
1561,122091.58
1562,114854.51
1563,101928.02
1564,133691.67
1565,129355.39
1566,212952.14
1567,68062.13
1568,211165.2
1569,121061.875
1570,126159.45
1571,97026.055
1572,120494.25
1573,216372.11
1574,99240.73
1575,184509.48
1576,195171.44
1577,154239.17
1578,116391.17
1579,114508.24
1580,172401.42
1581,143108.53
1582,99838.59
1583,286617.28
1584,189802.34
1585,118848.09
1586,59670.89
1587,86844.36
1588,122386.17
1589,82668.35
1590,114685.73
1591,73125.17
1592,97780.055
1593,109161.055
1594,116904.79
1595,81467.44
1596,195293.95
1597,145001.22
1598,164595.98
1599,164557.69
1600,160818.69
1601,62781.938
1602,91604.38
1603,78124.016
1604,241657.03
1605,213585.1
1606,139367.83
1607,150246.06
1608,182395.36
1609,157112.03
1610,129115.55
1611,126842.89
1612,143325.83
1613,140480.73
1614,110921.67
1615,82272.03
1616,65592.52
1617,74673.56
1618,100274.484
1619,117554.23
1620,154592.0
1621,117404.99
1622,121336.85
1623,202512.75
1624,192822.19
1625,102303.74
1626,148208.0
1627,161835.66
1628,245131.34
1629,154226.22
1630,342963.53
1631,184438.77
1632,193035.27
1633,140276.72
1634,159764.81
1635,158611.64
1636,139693.98
1637,177576.77
1638,165318.06
1639,152932.06
1640,216341.98
1641,158426.9
1642,201809.81
1643,180356.36
1644,200739.11
1645,182414.14
1646,135697.73
1647,136185.45
1648,115508.195
1649,123326.89
1650,97143.37
1651,104064.164
1652,86379.41
1653,89611.47
1654,127356.71
1655,128456.984
1656,127185.69
1657,126698.17
1658,130329.67
1659,101233.234
1660,138545.55
1661,404322.0
1662,319799.7
1663,302591.4
1664,425329.12
1665,232842.52
1666,265842.62
1667,318099.94
1668,281501.16
1669,245267.44
1670,264137.3
1671,220715.86
1672,384409.6
1673,250278.16
1674,203019.39
1675,165480.53
1676,166331.77
1677,173622.4
1678,425907.94
1679,317008.5
1680,277787.8
1681,188352.22
1682,239806.62
1683,157498.62
1684,153278.4
1685,150016.12
1686,148103.31
1687,140990.22
1688,164859.6
1689,165223.19
1690,173071.23
1691,160514.83
1692,208031.0
1693,144188.45
1694,154020.73
1695,135919.33
1696,223462.05
1697,142104.03
1698,285330.0
1699,245446.2
1700,207250.39
1701,230686.17
1702,209861.86
1703,201670.52
1704,232187.03
1705,195092.9
1706,380887.4
1707,164609.8
1708,169505.98
1709,235738.67
1710,186881.1
1711,225459.25
1712,213201.28
1713,218035.45
1714,191124.31
1715,175307.86
1716,150063.34
1717,141957.88
1718,113685.19
1719,172191.1
1720,193941.64
1721,141779.55
1722,115688.89
1723,131494.75
1724,173866.3
1725,193523.72
1726,161589.2
1727,134784.45
1728,159572.34
1729,137383.36
1730,125642.08
1731,109495.016
1732,113980.37
1733,103530.31
1734,106549.67
1735,121619.53
1736,100342.02
1737,289117.16
1738,177782.14
1739,256476.4
1740,183533.72
1741,164546.7
1742,150843.75
1743,154768.73
1744,275519.88
1745,178111.7
1746,165313.66
1747,180331.25
1748,193069.88
1749,135874.5
1750,114294.836
1751,206523.52
1752,102855.88
1753,130598.92
1754,167431.83
1755,142584.45
1756,120964.125
1757,101095.27
1758,124469.016
1759,138496.53
1760,141550.42
1761,131653.61
1762,157183.52
1763,143206.42
1764,94275.31
1765,156609.23
1766,151916.69
1767,203747.14
1768,117248.57
1769,155148.23
1770,131932.14
1771,96521.32
1772,122371.0
1773,117248.34
1774,123611.97
1775,116928.09
1776,111956.59
1777,93521.4
1778,116217.914
1779,100991.68
1780,158828.39
1781,106315.305
1782,69171.17
1783,123459.164
1784,89355.28
1785,101807.17
1786,109692.97
1787,141675.2
1788,60927.25
1789,86564.79
1790,69986.55
1791,162562.06
1792,135747.83
1793,117089.67
1794,132171.92
1795,112515.66
1796,102211.484
1797,96777.47
1798,99228.71
1799,96823.53
1800,99947.58
1801,104319.63
1802,102153.016
1803,132804.69
1804,121378.17
1805,119021.18
1806,101446.82
1807,126145.016
1808,104699.07
1809,102418.93
1810,125641.72
1811,87260.625
1812,74802.22
1813,103250.67
1814,76236.125
1815,57269.867
1816,87875.695
1817,88847.305
1818,135324.38
1819,106508.836
1820,64997.47
1821,83407.92
1822,128160.37
1823,55588.137
1824,118529.12
1825,117577.89
1826,85055.94
1827,79837.55
1828,132861.06
1829,113601.52
1830,130027.49
1831,123280.33
1832,82778.01
1833,122104.51
1834,107482.49
1835,143223.08
1836,102696.61
1837,68610.62
1838,122752.98
1839,90204.555
1840,129799.65
1841,114446.01
1842,73072.75
1843,122542.91
1844,119448.96
1845,120358.27
1846,124376.81
1847,144142.25
1848,57291.5
1849,103672.88
1850,94338.086
1851,145676.23
1852,105472.555
1853,114033.97
1854,158000.66
1855,137386.89
1856,187944.19
1857,132152.75
1858,112111.84
1859,102269.695
1860,128186.04
1861,104787.07
1862,235044.56
1863,232902.47
1864,232942.02
1865,307895.2
1866,280970.12
1867,203727.31
1868,257574.53
1869,179002.3
1870,202338.23
1871,214187.64
1872,150717.06
1873,223837.02
1874,124520.42
1875,175390.47
1876,166794.02
1877,178681.66
1878,176278.89
1879,108314.75
1880,118620.266
1881,225216.4
1882,220843.03
1883,148064.33
1884,170323.66
1885,213154.52
1886,248571.67
1887,182431.19
1888,242052.38
1889,144622.67
